country,happiness_score,gdp_per_capita
Finland,7.821,1.892
Denmark,7.636,1.953
Iceland,7.557,1.936
Switzerland,7.512,2.026
Netherlands,7.415,1.945
Sweden,7.384,1.92
Norway,7.365,1.997
Israel,7.364,1.826
"New Zealand",7.2,1.852
Austria,7.163,1.931
Australia,7.162,1.9
Ireland,7.041,2.129
Germany,7.034,1.924
Canada,7.025,1.886
"United States",6.977,1.982
"United Kingdom",6.943,1.867
Czechia,6.92,1.815
Belgium,6.805,1.907
France,6.687,1.863
Slovenia,6.63,1.81
"United Arab Emirates",6.576,1.998
"Saudi Arabia",6.523,1.87
Singapore,6.48,2.149
Romania,6.477,1.719
Spain,6.476,1.808
Uruguay,6.474,1.615
Italy,6.467,1.834
Malta,6.447,1.838
Lithuania,6.446,1.804
Slovakia,6.391,1.736
Estonia,6.341,1.793
Panama,6.309,1.715
Brazil,6.293,1.462
Kazakhstan,6.234,1.668
Cyprus,6.221,1.815
Latvia,6.18,1.732
Serbia,6.178,1.55
Chile,6.172,1.651
Nicaragua,6.165,1.105
Mexico,6.128,1.552
Croatia,6.125,1.705
Poland,6.123,1.758
"El Salvador",6.12,1.265
Hungary,6.086,1.748
Uzbekistan,6.063,1.219
Japan,6.039,1.835
Honduras,6.022,1.111
Portugal,6.016,1.76
Argentina,5.967,1.592
Greece,5.948,1.703
"Korea, Republic of",5.935,1.851
Philippines,5.904,1.268
Thailand,5.891,1.535
"Moldova, Republic of",5.857,1.417
Colombia,5.781,1.452
"Bosnia and Herzegovina",5.768,1.468
Mongolia,5.761,1.393
"Bolivia, Plurinational State of",5.6,1.256
China,5.585,1.508
Paraguay,5.578,1.409
Peru,5.559,1.397
Montenegro,5.547,1.573
Ecuador,5.533,1.352
"Viet Nam",5.485,1.252
"Russian Federation",5.459,1.685
Armenia,5.399,1.434
Bulgaria,5.371,1.625
Indonesia,5.24,1.382
"CÃ´te d'Ivoire",5.235,1.094
"North Macedonia",5.199,1.505
Albania,5.199,1.439
"South Africa",5.194,1.425
Bangladesh,5.155,1.06
Algeria,5.122,1.363
Ukraine,5.084,1.411
Congo,5.075,0.95
Morocco,5.06,1.208
Mozambique,5.048,0.578
Cameroon,5.048,0.968
Senegal,5.046,0.933
Georgia,4.973,1.467
Gabon,4.958,1.459
Iraq,4.941,1.289
"Venezuela, Bolivarian Republic of",4.925,0
Guinea,4.891,0.848
"Iran, Islamic Republic of",4.888,1.41
Ghana,4.872,1.112
TÃ¼rkiye,4.744,1.707
"Burkina Faso",4.67,0.779
Benin,4.623,0.932
Uganda,4.603,0.777
Nigeria,4.552,1.079
Kenya,4.543,1.032
Tunisia,4.516,1.35
Pakistan,4.516,1.049
Mali,4.479,0.792
Namibia,4.459,1.292
Egypt,4.288,1.388
Ethiopia,4.241,0.788
Togo,4.112,0.771
India,3.777,1.167
Zambia,3.76,0.93
Malawi,3.75,0.648
"Tanzania, United Republic of",3.702,0.848
Zimbabwe,2.995,0.947
Afghanistan,2.404,0.758
