Country,Continent,Year,RANK,Happiness score,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Afghanistan,Asia,3175.1,146.0,2.404,1.263,0.758,0.0,0.289,0.0,0.089,0.005
Albania,Europe,2544.0,90.0,5.199,1.718,1.439,0.646,0.719,0.511,0.138,0.028
Algeria,Africa,3266.5,96.0,5.122,1.744,1.363,0.97,0.643,0.146,0.106,0.15
Argentina,South America,2220.3,57.0,5.967,1.891,1.592,1.102,0.662,0.555,0.081,0.085
Armenia,Asia,2474.0,82.0,5.399,1.654,1.434,0.82,0.668,0.558,0.054,0.21
Australia,Oceania,2843.57,12.0,7.162,2.011,1.9,1.203,0.772,0.676,0.258,0.341
Austria,Europe,1884.0,11.0,7.163,2.148,1.931,1.165,0.774,0.623,0.193,0.329
Bangladesh,Asia,2066.0,94.0,5.155,1.967,1.06,0.614,0.581,0.622,0.125,0.187
Belgium,Europe,1546.0,19.0,6.805,2.283,1.907,1.106,0.764,0.492,0.049,0.204
Benin,Africa,2630.47,115.0,4.623,2.458,0.932,0.064,0.335,0.479,0.127,0.23
"Bolivia, Plurinational State of",South America,2288.9,71.0,5.6,2.107,1.256,0.88,0.555,0.627,0.112,0.064
Bosnia and Herzegovina,Europe,1769.0,67.0,5.768,1.869,1.468,1.068,0.665,0.448,0.244,0.006
Brazil,South America,2237.58,38.0,6.293,2.361,1.462,1.044,0.615,0.546,0.131,0.134
Bulgaria,Europe,2177.0,85.0,5.371,1.235,1.625,1.163,0.64,0.563,0.123,0.021
Burkina Faso,Africa,3209.0,113.0,4.67,2.313,0.779,0.565,0.32,0.382,0.186,0.126
Cameroon,Africa,2165.12,102.0,5.048,2.469,0.968,0.672,0.317,0.397,0.152,0.074
Canada,North America,2028.04,15.0,7.025,1.924,1.886,1.188,0.783,0.659,0.217,0.368
Chile,South America,2841.78,44.0,6.172,2.04,1.651,1.08,0.748,0.46,0.124,0.069
China,Asia,2028.58,72.0,5.585,1.516,1.508,0.958,0.705,0.656,0.099,0.142
Colombia,South America,1930.78,66.0,5.781,1.971,1.452,0.929,0.72,0.545,0.087,0.077
Congo,Africa,1698.67,99.0,5.075,2.658,0.95,0.405,0.355,0.431,0.13,0.146
Croatia,Europe,2272.0,47.0,6.125,1.884,1.705,1.183,0.709,0.535,0.109,0.0
Cyprus,Asia,3314.1,41.0,6.221,2.044,1.815,0.909,0.819,0.448,0.123,0.062
