rank_number,country,dystopia,sunny_hours_per_year
1,Finland,2.518,1858
2,Denmark,2.226,1932
3,Iceland,2.32,1326
4,Switzerland,2.153,1932.75
5,Netherlands,2.137,1662
7,Sweden,2.003,1782.5
8,Norway,1.925,1373.33
9,Israel,2.634,3311
10,"New Zealand",1.954,1953.92
11,Austria,2.148,1884
124,Namibia,1.414,3737.5
129,Egypt,0.856,3710.68
131,Ethiopia,1.375,2784.85
135,Togo,2.061,2579.95
136,India,0.795,2517.02
137,Zambia,1.135,2965.47
138,Malawi,1.661,2795.87
139,"Tanzania, United Republic of",0.735,3032.85
144,Zimbabwe,0.548,3065.4
146,Afghanistan,1.263,3175.1
